narrative_components,tweets_freq,retweet_chain_freq,botometer_en_freq,botometer_ar_freq
douma,109042,0,0,0
saving_lives,975,0,0,0
weapons,14438,0,0,0
russia,31532,0,0,0
chemical_attacks,203831,0,0,0
the_uk,33824,0,0,0
media,19389,0,0,0
the_us,2866,0,0,0
allegations_of_fraud,91750,0,0,0
propaganda,719,0,0,0
covert_operations,124703,0,0,0
funding_freezes,3304,0,0,0
idlib,68586,0,0,0
smear_campaign,1973,0,0,0
terrorism,44409,0,0,0
funding,5585,0,0,0
israel,2271,0,0,0
military_actions,188826,0,0,0
