narrative_components,captions_freq,channels_freq,comments_freq,comment_replies_freq,videos_freq
douma,86,0,8142,2855,121
saving_lives,10,0,750,270,13
weapons,29,0,1311,864,41
russia,60,0,5478,2146,76
chemical_attacks,217,0,18667,7309,270
the_uk,27,0,904,710,36
media,32,0,2319,778,44
the_us,16,0,941,453,21
allegations_of_fraud,99,0,10192,3862,117
propaganda,1,0,9,5,1
covert_operations,105,0,6527,2609,117
funding_freezes,9,0,918,107,9
idlib,99,0,10869,3893,113
smear_campaign,2,0,23,14,2
terrorism,62,0,6217,2076,78
funding,10,0,1023,154,10
israel,2,0,34,25,4
military_actions,213,0,19735,7130,257
